
File: rev_1.09.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.09.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.09.sql Line: 288 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.09.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.09.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.09.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.09.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.09.sql Line: 288 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 291 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.10.sql Line: 291 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 291 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.11.sql Line: 291 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 291 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.12.sql Line: 291 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.13.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.13.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.13.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.13.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.13.sql Line: 291 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.13.sql Line: 5 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.13.sql Line: 43 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.13.sql Line: 78 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
File: rev_1.13.sql Line: 130 Error: Command CREATE does not support action TYPE, only {'TABLE','DATABASE','VIEW','TRIGGER','INDEX','pl_sql'}. [major] 
